Team,Season,Round,Outcome,Points For,Points Against,Opponent
Commisioner Gordan,6,Final,Loss,100.56,134.74,Milk Man
Milk Man,6,Final,Win,134.74,100.56,Commisioner Gordan
The People's Champ,6,Semi Final,Loss,75.12,125.26,Commisioner Gordan
Commisioner Gordan,6,Semi Final,Win,125.26,75.12,The People's Champ
Surace,6,Semi Final,Loss,84.2,113.34,Milk Man
Milk Man,6,Semi Final,Win,113.34,84.2,Surace
Commisioner Gordan,6,Quarter Final,Win,0,0,Bye
Milk Man,6,Quarter Final,Win,0,0,Bye
Surace,6,Quarter Final,Win,144.26,71.4,Poppy's Champions
Poppy's Champions,6,Quarter Final,Loss,71.4,144.26,Surace
The Wolf of Greek St,6,Quarter Final,Loss,60.8,129.74,The People's Champ
The People's Champ,6,Quarter Final,Win,129.74,60.8,The Wolf of Greek St
The Mighty Albatross,5,Quarter Final,Win,0,0,Bye
The People's Champ,5,Quarter Final,Win,123.4,97.78,Milk Man
Milk Man,5,Quarter Final,Loss,97.78,123.4,The People's Champ
Richard,5,Quarter Final,Loss,108.28,142.82,Commissioner Gordon
Commisioner Gordan,5,Quarter Final,Win,142.82,108.28,Richard
Poppy's Champions,5,Quarter Final,Win,0,0,Bye
The Mighty Albatross,5,Semi Final,Win,94.86,75.74,Commissioner Gordon
The People's Champ,5,Semi Final,Win,158.26,106.7,Poppy's Champions
Commisioner Gordan,5,Semi Final,Loss,75.74,94.86,The Mighty Albatross
Poppy's Champions,5,Semi Final,Loss,106.7,158.26,The People's Champ
The Mighty Albatross,5,Final,Win,134.7,116.4,The People's Champ
The People's Champ,5,Final,Loss,116.4,134.7,The Mighty Albatross
GhostingTheLombardi,4,Quarter Final,Win,0,0,Bye
The Wolf of Greek St,4,Quarter Final,Win,156.5,96.78,The Mighty Albatross
The Mighty Albatross,4,Quarter Final,Loss,96.78,156.5,The Wolf of Greek St
The Black Shepherd,4,Quarter Final,Loss,64.42,128.9,Commissioner Gordon
Commisioner Gordan,4,Quarter Final,Win,128.9,64.42,The Black Shepherd
Poppy's Champions,4,Quarter Final,Win,0,0,Bye
GhostingTheLombardi,4,Semi Final,Loss,96.58,114.7,Commissioner Gordon
The Wolf of Greek St,4,Semi Final,Win,92.2,67.3,Poppy's Champions
Commisioner Gordan,4,Semi Final,Win,114.7,96.58,GhostingTheLombardi
Poppy's Champions,4,Semi Final,Loss,67.3,92.2,The Wolf of Greek St
The Wolf of Greek St,4,Final,Win,110.12,100.62,Commissioner Gordon
Commisioner Gordan,4,Final,Loss,100.62,110.12,The Wolf of Greek St
Commisioner Gordan,3,Quarter Final,Win,0,0,Bye
Richard,3,Quarter Final,Loss,92.32,114.54,The Black Shepherd
The Black Shepherd,3,Quarter Final,Win,114.54,92.32,Richard
Poppy's Champions,3,Quarter Final,Win,131.62,103.62,GhostingTheLombardi
GhostingTheLombardi,3,Quarter Final,Loss,103.62,131.62,Poppy's Champions
Dune Squad,3,Quarter Final,Win,0,0,Bye
Commisioner Gordan,3,Semi Final,Loss,138.52,120.2,The Black Shepherd
Richard,3,5th Place Game,Win,138.12,76.9,GhostingTheLombardi
The Black Shepherd,3,Semi Final,Loss,120.2,136.52,Commissioner Gordon
Poppy's Champions,3,Semi Final,Win,169.46,97.8,The Mighty Albatross
Dune Squad,3,Semi Final,Loss,97.8,169.46,Poppy's Champions
Commisioner Gordan,3,Final,Loss,89.24,94.58,Poppy's Champions
Poppy's Champions,3,Final,Win,94.58,89.24,Commissioner Gordon
The People's Champ,2,Quarter Final,Win,0,0,Bye
Poppy's Champions,2,Quarter Final,Loss,126.06,128.04,The Black Shepherd
The Black Shepherd,2,Quarter Final,Win,128.04,126.06,Poppy's Champions
GhostingTheLombardi,2,Quarter Final,Loss,117.52,129.26,The Mighty Albatross
The Mighty Albatross,2,Quarter Final,Win,129.26,117.52,GhostingTheLombardi
Surace,2,Quarter Final,Win,0,0,Bye
The People's Champ,2,Semi Final,Win,110.14,69.34,The Mighty Albatross
The Black Shepherd,2,Semi Final,Loss,125.12,132.14,Surace
GhostingTheLombardi,2,Semi Final,Loss,94.74,139.88,The Mighty Albatross
Surace,2,Semi Final,Win,132.14,125.12,The Black Shepherd
The People's Champ,2,Final,Loss,100.12,117.7,Surace
Surace,2,Final,Win,117.7,100.12,The People's Champ
