Year,POS,Team,Int,Fum,Tot
2016,DEF,KC,18,15,33
2016,DEF,OAK,16,14,30
2016,DEF,NE,13,10,23
2016,DEF,ATL,12,10,22
2016,DEF,MIN,14,13,27
2016,DEF,GB,17,8,25
2016,DEF,BUF,12,6,18
2016,DEF,PHI,16,10,26
2016,DEF,BAL,18,10,28
2016,DEF,DAL,9,11,20
2016,DEF,PIT,13,10,23
2016,DEF,CIN,17,3,20
2016,DEF,DEN,14,13,27
2016,DEF,MIA,16,9,25
2016,DEF,TB,17,12,29
2016,DEF,SEA,11,8,19
2016,DEF,ARI,14,14,28
2016,DEF,TEN,12,6,18
2016,DEF,WAS,13,8,21
2016,DEF,DET,10,4,14
2016,DEF,CAR,17,10,27
2016,DEF,NYG,17,8,25
2016,DEF,NO,9,12,21
2016,DEF,IND,8,9,17
2016,DEF,SF,10,10,20
2016,DEF,HOU,11,6,17
2016,DEF,SD,18,10,28
2016,DEF,LAR,10,8,18
2016,DEF,CLE,10,3,13
2016,DEF,JAX,7,6,13
2016,DEF,CHI,8,3,11
2016,DEF,NYJ,8,6,14
2015,DEF,CAR,24,15,39
2015,DEF,KC,22,7,29
2015,DEF,CIN,21,7,28
2015,DEF,ARI,19,14,33
2015,DEF,NE,12,9,21
2015,DEF,NYG,15,13,28
2015,DEF,SEA,14,9,23
2015,DEF,BUF,17,8,25
2015,DEF,NYJ,18,12,30
2015,DEF,GB,16,6,22
2015,DEF,HOU,14,11,25
2015,DEF,MIN,13,9,22
2015,DEF,LAR,13,13,26
2015,DEF,WAS,11,16,27
2015,DEF,NO,9,13,22
2015,DEF,PIT,17,13,30
2015,DEF,OAK,14,11,25
2015,DEF,MIA,13,3,16
2015,DEF,CHI,8,9,17
2015,DEF,DEN,14,13,27
2015,DEF,SD,11,9,20
2015,DEF,IND,17,8,25
2015,DEF,PHI,15,11,26
2015,DEF,SF,9,3,12
2015,DEF,TB,11,12,23
2015,DEF,DET,9,9,18
2015,DEF,ATL,15,8,23
2015,DEF,CLE,11,10,21
2015,DEF,JAX,9,9,18
2015,DEF,BAL,6,8,14
2015,DEF,TEN,11,8,19
2015,DEF,DAL,8,3,11
2014,DEF,GB,18,9,27
2014,DEF,HOU,20,14,34
2014,DEF,NE,16,9,25
2014,DEF,SEA,13,11,24
2014,DEF,ARI,18,7,25
2014,DEF,BUF,19,11,30
2014,DEF,DET,20,7,27
2014,DEF,SF,23,6,29
2014,DEF,CLE,21,8,29
2014,DEF,DAL,18,13,31
2014,DEF,ATL,16,12,28
2014,DEF,DEN,18,7,25
2014,DEF,CAR,14,12,26
2014,DEF,BAL,11,11,22
2014,DEF,MIA,14,11,25
2014,DEF,CIN,20,6,26
2014,DEF,PIT,11,10,21
2014,DEF,MIN,13,6,19
2014,DEF,NYG,17,9,26
2014,DEF,LAR,13,12,25
2014,DEF,KC,6,8,14
2014,DEF,CHI,14,10,24
2014,DEF,IND,12,14,26
2014,DEF,SD,7,11,18
2014,DEF,JAX,6,14,20
2014,DEF,PHI,12,16,28
2014,DEF,TB,14,11,25
2014,DEF,TEN,12,4,16
2014,DEF,NYJ,6,7,13
2014,DEF,WAS,7,12,19
2014,DEF,NO,12,5,17
2014,DEF,OAK,9,5,14
2013,DEF,SEA,28,11,39
2013,DEF,KC,21,15,36
2013,DEF,IND,15,12,27
2013,DEF,PHI,19,12,31
2013,DEF,SF,18,12,30
2013,DEF,CAR,20,10,30
2013,DEF,TB,21,10,31
2013,DEF,NE,17,12,29
2013,DEF,DAL,15,13,28
2013,DEF,LAR,14,15,29
2013,DEF,CHI,19,9,28
2013,DEF,BUF,23,7,30
2013,DEF,CIN,20,11,31
2013,DEF,DEN,17,9,26
2013,DEF,NO,12,7,19
2013,DEF,TEN,13,12,25
2013,DEF,ARI,20,10,30
2013,DEF,MIA,18,6,24
2013,DEF,GB,11,11,22
2013,DEF,PIT,10,10,20
2013,DEF,SD,11,6,17
2013,DEF,BAL,16,8,24
2013,DEF,JAX,11,10,21
2013,DEF,ATL,10,11,21
2013,DEF,CLE,14,7,21
2013,DEF,WAS,16,10,26
2013,DEF,OAK,9,13,22
2013,DEF,DET,15,7,22
2013,DEF,MIN,12,8,20
2013,DEF,NYJ,13,2,15
2013,DEF,NYG,17,12,29
2013,DEF,HOU,7,4,11
2012,DEF,NE,20,21,41
2012,DEF,CHI,24,20,44
2012,DEF,WAS,21,10,31
2012,DEF,NYG,21,14,35
2012,DEF,ATL,20,11,31
2012,DEF,SEA,18,13,31
2012,DEF,HOU,15,14,29
2012,DEF,BAL,13,12,25
2012,DEF,SF,14,11,25
2012,DEF,GB,18,5,23
2012,DEF,CIN,14,16,30
2012,DEF,CLE,17,12,29
2012,DEF,TB,18,8,26
2012,DEF,NO,15,11,26
2012,DEF,SD,14,14,28
2012,DEF,CAR,11,12,23
2012,DEF,ARI,22,11,33
2012,DEF,DEN,16,8,24
2012,DEF,MIN,10,12,22
2012,DEF,LAR,17,4,21
2012,DEF,JAX,12,11,23
2012,DEF,TEN,19,5,24
2012,DEF,OAK,11,8,19
2012,DEF,MIA,10,6,16
2012,DEF,PIT,10,10,20
2012,DEF,IND,12,3,15
2012,DEF,BUF,12,9,21
2012,DEF,DAL,7,9,16
2012,DEF,NYJ,11,12,23
2012,DEF,DET,11,6,17
2012,DEF,KC,7,6,13
2012,DEF,PHI,8,5,13
